experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high
burgers_long,Burgers — entraînement long,burgers,m1,10,10,0.3379224501771515,0.2274078510952352,0.39528660102661745,0.21186017599217208,0.4098338310658622,1.3494322527643592,1.162946890141943,1.48600469989415,1.1255670543377245,1.494842278098283,0.04841325544845297,0.045211850395305425,0.05184250377326564,0.04332145317568649,0.06567567139667416,0.2746966305917908,0.21464561163153345,0.3409140046444186,0.21385594858416426,0.37210999312943704,1.5619242148710972,1.1662777421415595,1.8739713639740907,1.1464453128243572,2.044610587532514,23.90188645599983,23.471999924999864,25.57686241000033,23.430488996999884,25.94025689800037,1319936.0,1319936.0,1319936.0,1319936.0,1319936.0
burgers_long,Burgers — entraînement long,burgers,m5,10,10,0.5006805495621975,0.4324547190074518,0.5447874060805672,0.4221229279724051,0.5557838634097461,1.342948826200025,1.2009472426387062,1.416844912046039,1.1985131227628836,1.4711575527129375,0.04979550934075755,0.048339075685772996,0.05112143333125542,0.04209253161519347,0.05651538474283915,0.13848286579717894,0.12750769414944912,0.159844037874881,0.12620657396982954,0.16322624651997297,0.6599836617946309,0.606964577504568,0.7386267675177729,0.5932130128915513,0.7514365242709609,26.260279210000135,23.513353493750174,26.891158921499937,23.259437339000215,27.030680061500334,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0
burgers_long,Burgers — entraînement long,burgers,m6,10,10,0.47063316319480053,0.43859833004724125,0.5369780856188364,0.4351153928317406,0.6146946064006842,1.2993420217968643,1.1309199050193808,1.4310876117100317,1.1162601885119927,1.5420685465342194,0.048722356710806825,0.042188092277058616,0.05189278643926426,0.03965926489164265,0.061201956605299215,0.14457919387193532,0.1250335921706366,0.16006754626253916,0.12316379574155428,0.1617343910685581,0.6458867644040773,0.6024557607142139,0.7821686520292556,0.5886274964110882,0.8111463034156138,25.24435051049977,24.973584824750333,25.651666566000358,24.673148410499834,25.687447233499825,1371136.0,1371136.0,1371136.0,1371136.0,1371136.0
allen_cahn,Allen–Cahn,allen_cahn,m5,10,10,0.09630024851128013,0.07919338576704874,0.11239948004137396,0.07601847699226187,0.11847338028040785,0.17587176019084566,0.13954059788566514,0.18409064813622986,0.1343950378985609,0.19436636764454124,0.0670454887618947,0.06402045085893589,0.07062381243197961,0.06238475198004574,0.07335035405987014,0.09424108481463112,0.08812249243605419,0.1107137364357943,0.08567521065040762,0.11441226317613279,0.35253529535313155,0.32189616560091566,0.4397942480675353,0.3196772608783054,0.45249935656307355,2.5620663905001493,2.485568888999751,2.6454853679995267,2.479436210000131,2.6607448950003345,197376.0,197376.0,197376.0,197376.0,197376.0
allen_cahn,Allen–Cahn,allen_cahn,m6,10,10,0.09801464774714808,0.07469006172532106,0.11401327379411841,0.07035260672459269,0.11784659220214737,0.17172540304858214,0.13624607086200724,0.18095275563741706,0.1286176920601969,0.1911826748506364,0.06585847859923011,0.06288138875046533,0.07391207306780843,0.06257248373344954,0.07497078099416495,0.10457699236290594,0.0929871470125268,0.10804786161641963,0.087593022525573,0.10868911520514798,0.378207262486313,0.32500743623000977,0.42862290796341423,0.3192760818653707,0.4342808403290057,2.2819781969997166,2.237572279750111,2.4940989325000373,2.2257643539996934,2.5099564180000016,197376.0,197376.0,197376.0,197376.0,197376.0
helmholtz,Helmholtz,helmholtz,m5,10,10,1.152065126123984,1.1398907799331983,1.1636914151709679,1.1350891668113108,1.1702628866816367,1.1583940594771942,1.1436144052742496,1.173755005467452,1.136041667404788,1.184903431076183,0.052302576021020744,0.052302489851488505,0.05230271920851787,0.05230246892974991,0.052302741429152026,0.000406464884501858,0.00032794394183420814,0.000502405959551166,0.00031640374615024585,0.0005325110448672995,0.6536333127198518,0.6011459809498061,0.7615889666514195,0.589788797085151,0.7728615426307016,3.031698559000233,2.9332818824998412,3.1173446767495534,2.86989729600009,3.1460375540000314,197376.0,197376.0,197376.0,197376.0,197376.0
helmholtz,Helmholtz,helmholtz,m6,10,10,1.1418324544212686,1.132526497561214,1.1668726467298998,1.1298299856920018,1.173685377232594,1.1478150861309113,1.1419182919447097,1.1681206349323419,1.1415758239966471,1.1725999606280477,0.05230263055268114,0.0523025049727735,0.05230280254149663,0.05230249634818404,0.05230286038423912,0.0004311829274466453,0.00039124464065418856,0.00044738511578668006,0.00036887465832540183,0.00047743044645004906,0.7579201610962243,0.6831217525968126,0.7859677843735693,0.6336793164082627,0.7880548770447838,2.801196855999933,2.705262615749916,2.9543677100000423,2.7047854299999017,2.983596344000034,197376.0,197376.0,197376.0,197376.0,197376.0
wave,Équation des ondes,wave,m5,10,10,0.30884856297045354,0.3058502522470432,0.3323556754979655,0.30298717663267216,0.36928396758309334,0.5107262949112592,0.4324843092363825,0.5366234744311931,0.4196288792452469,0.5410996995904545,0.07287843383868797,0.06281414057887644,0.08731629058380563,0.061778628962928836,0.09002488305678974,0.04303964698468285,0.038169021726747354,0.07959663278390267,0.031994974766662826,0.09558603678472752,0.2752006606494854,0.24780142192218987,0.31487050130107663,0.2469465689766552,0.3220767138261938,3.9324746170000253,3.7994537472497996,4.00610523850014,3.695458821500324,4.022230356500131,197376.0,197376.0,197376.0,197376.0,197376.0
wave,Équation des ondes,wave,m6,10,10,0.30932269816528857,0.3013237069421239,0.3348498481575345,0.2989482904714748,0.36858470278066247,0.49572735522249833,0.4265524893654283,0.5316563402841101,0.4113948087592318,0.5316925871485941,0.06738134855947997,0.061545186693486895,0.08396130543927485,0.06103090680571516,0.08674610686518598,0.04434959450040947,0.037424556845160266,0.07703087573593165,0.0339663150507639,0.09041013580801005,0.2896526305588485,0.2671332902336713,0.30874335438815487,0.2632167417820835,0.31123179590366307,3.347494733500298,3.2601023510003415,3.3707652279997546,3.195771720000266,3.3874036264996903,197376.0,197376.0,197376.0,197376.0,197376.0
sparse_clean,Burgers — données rares propres,burgers,m5,10,10,0.573644499720315,0.5378179941158265,0.6136073221654786,0.5359878394276953,0.6158208864736044,1.021343445366977,0.9330851079001342,1.101858660613499,0.9121502251671588,1.1186613273579193,0.06855242837031741,0.054237304869207865,0.09712163210862249,0.053118441556084944,0.09893780350114977,0.0828286294578307,0.06196341267686795,0.10073436067078997,0.06026873229722552,0.10467538809521663,0.46641691117985673,0.40623543548343377,0.5148208992720811,0.40104335446174644,0.5627364740098313,2.9632813755001735,2.8203254709997054,3.3698856229998455,2.697299909499634,3.3918512914997336,197376.0,197376.0,197376.0,197376.0,197376.0
