metric,contrast,n_pairs,median_difference,mean_difference,ci95_low,ci95_high,n_negative,n_zero,n_positive,p_sign,p_holm_4
relative_l2,full_exp-local_only,10,0.017703022957425277,0.0710207601604764,-0.030635582961170985,0.08956065174593891,4,0,6,0.75390625,1.0
relative_l2,full_exp-global_only,10,-0.038327456492199485,0.021879621363620982,-0.101134085798627,0.1606924898456007,6,0,4,0.75390625,1.0
relative_l2,full_exp-full_quad,10,0.012002305390481652,0.042214263199873966,-0.04766678206283703,0.09907914726826797,3,0,7,0.34375,1.0
relative_l2,interaction,10,0.028118555192064992,0.10401575944826313,-0.009277764435651065,0.13675569015494352,4,0,6,0.75390625,1.0
max_abs_error,full_exp-local_only,10,0.046469463818610945,0.08322267572536361,-0.17397724457766373,0.2827182544356329,4,0,6,0.75390625,1.0
max_abs_error,full_exp-global_only,10,0.2968360582995697,0.25636420675759003,0.0815793592469296,0.4562579547617984,2,0,8,0.109375,0.4375
max_abs_error,full_exp-full_quad,10,0.04883592872971598,0.08885805841934494,-0.0034784039835136227,0.1355162006909557,3,0,7,0.34375,1.0
max_abs_error,interaction,10,0.13643169597892135,0.18156317517793266,-0.09079644331741998,0.4871766794489105,3,0,7,0.34375,1.0
