variant,n,relative_l2,max_abs_error,historical_l2,historical_maximum
neither,10,0.3072411104109475,1.6626964197208425,0.2946860694530752,1.5137047153276622
global_only,10,0.2652266027337494,1.4851700247472723,0.2514898121082272,1.4245416713242207
local_only,10,0.22495765530587794,1.7406261506704734,0.20906545518165032,1.5507919277263693
full_exp,10,0.26369312195215344,1.8000463475915556,0.25074977980481095,1.7208948421120112
full_quad,10,0.26370245386623037,1.769930724647515,0.248982829461773,1.6988601504131349
