step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,weight_physics,weight_initial,weight_boundary,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.03603957999985141,0.7752173132841196,0.1522501422531126,0.5884638213681257,0.05228181124495068,0.9645879163720895,0.973444885476492,1.0619671981514185,0.12393439630283698,0.12393439630283698,1,0.04730088546989959,0.0041849198101842865,0.0005986172798118365,1.0,1.0,0.0013020833333333333,192,192,0,384,768,nan,nan
10,0.12045672799968088,0.4414293674641717,0.007976223949928035,0.35323171736790887,0.08807527620368939,0.8855800719979924,0.9358160873839804,1.1786038406180273,0.23327328493321753,0.3572076812360545,2,0.027267169874525835,0.009513850479795999,0.036879274990264437,1.0,1.0,0.0013020833333333333,1920,384,0,768,3072,nan,nan
20,0.19639918699976988,0.4270117179841756,0.009682185898149995,0.36320602863653645,0.0697477538484064,0.818408551862448,0.9095897231544621,1.27200172498309,0.18679576873012538,0.5440034499661799,3,0.03870854058407239,0.007019343535697636,0.021956935606503684,1.0,1.0,0.0013020833333333333,3840,576,0,1152,5568,nan,nan
30,0.24776797300000908,0.42560768308550745,0.0018292694421915801,0.4259424080791411,0.0226105262522938,0.751405117175911,0.9257667540335496,1.3228281287905395,0.13400686937307404,0.6780103193392539,4,0.027490371913358687,0.002396440534550617,0.0004879438260898947,1.0,1.0,0.0013020833333333333,5760,768,0,1536,8064,nan,nan
40,0.9145374069998979,0.41912407351977715,0.0020505631951173004,0.39429237159532876,0.03917632851838351,0.6905835664272088,0.9214833792147308,1.3879330543580606,0.13020985113504213,0.8082201704742961,5,0.03008929626153304,0.003923857232561829,0.06918388127758662,1.0,1.0,0.0013020833333333333,7680,960,0,1920,10560,0.8937816829445386,0.9699806783715632
50,0.9702969639997718,0.4162937336848812,0.0036975561531736242,0.39397334055895555,0.03627563439378777,0.6419036397101435,0.918034451552508,1.4400619087373487,0.1042577087585762,0.9124778792328723,6,0.03183601937551343,0.0051999138648613705,0.006392041057169896,1.0,1.0,0.0013020833333333333,9600,1152,0,2304,13056,0.8937816829445386,0.9699806783715632
60,1.049279585000022,0.4138832125926641,0.002811008569971164,0.3984729412300732,0.030556423385353124,0.5978891746513659,0.9208682110432604,1.4812426143053739,0.08802893011755519,1.0005068093504275,7,0.027449966942658992,0.00402182332799619,0.07383746062164068,1.0,1.0,0.0013020833333333333,11520,1344,0,2688,15552,0.8937816829445386,0.9699806783715632
70,1.1179339239997717,0.4109152314544684,0.004026836879577319,0.39473204780063664,0.029473279264677604,0.5639932121514981,0.9222147240686281,1.5137920637798739,0.06779192499973552,1.0682987343501629,8,0.026195389520229137,0.0045285749227753965,0.07514633034584559,1.0,1.0,0.0013020833333333333,13440,1536,0,3072,18048,0.8937816829445386,0.9699806783715632
80,1.1844484149996788,0.4054814565607002,0.006039536064926497,0.3883637267298544,0.02905753975595741,0.5410527342631869,0.9205596873041593,1.538387578432654,0.049191029305560185,1.117489763655723,9,0.026045275085080522,0.004960878840158823,0.06856398623515239,1.0,1.0,0.0013020833333333333,15360,1728,0,3456,20544,0.9038254156316882,0.9759055786667592
90,1.252381905999755,0.39776021296507247,0.008859520678319924,0.38213528664967017,0.027544995061753327,0.5302402544591838,0.9166438737395219,1.5531158718012943,0.0294565867372808,1.1469463503930037,10,0.023673048295598482,0.004912600012828202,0.05411807978589888,1.0,1.0,0.0013020833333333333,17280,1920,0,3840,23040,0.9038254156316882,0.9759055786667592
100,1.3657469529998707,0.38767236311214925,0.013379118459142749,0.37325051865773207,0.026466484328655067,0.5329290482320753,0.9090601537432298,1.5580107980246949,0.015167439992584297,1.162113790385588,11,0.022878888675771036,0.004895342928097901,0.03996909558613893,1.0,1.0,0.0013020833333333333,19200,2112,0,4224,25536,0.9038254156316882,0.9759055786667592
110,1.433831118999933,0.3757985862092994,0.019729221772878013,0.3618323582965043,0.026009576796819773,0.5491806862226589,0.8969579257114614,1.5538613880658798,0.03250327598116709,1.1946170663667552,12,0.023069002787782338,0.004527055335047471,0.02713317105310195,1.0,1.0,0.0013020833333333333,21120,2304,0,4608,28032,0.9038254156316882,0.9759055786667592
120,1.5541179539995937,0.3633710094300396,0.02700971605722796,0.3504802289276059,0.025251529674108316,0.5773925873893627,0.8812299076947782,1.5413775049158591,0.05642380233340771,1.251040868700163,13,0.024208172316604326,0.003659425735973644,0.014217609559082118,1.0,1.0,0.0013020833333333333,23040,2496,0,4992,30528,0.9147305689429789,1.053166752327989
