problem,variant,n,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_max_abs_error
helmholtz,neither,10,0.0871709723627655,0.1695638907110164,0.07482481688554854,0.11124802469830244,0.1695638907110164
helmholtz,global_only,10,0.019168666595422885,0.032984409757772,0.01563324214476523,0.01972541028447313,0.032984409757772
helmholtz,local_only,10,0.03245108313698075,0.046997503448960365,0.025038595713334638,0.03058065381907333,0.046997503448960365
helmholtz,full_exp,10,0.005229973754909409,0.006008832977087803,0.004561716348958056,0.005119835673730802,0.006008868727740908
helmholtz,full_quad,10,0.02075705287441338,0.01927770646173501,0.01568395165379416,0.017427105521778063,0.019279163067043602
allen_cahn,neither,10,0.02859151681080399,0.06020233077921305,0.02919368012785695,0.0441332351161785,0.06020233077921305
allen_cahn,global_only,10,0.028734493897371483,0.0589689428134019,0.02949230341365519,0.044740243640516916,0.058983226503078995
allen_cahn,local_only,10,0.025730964691546423,0.047287309618622625,0.024425782395919426,0.03737120540571395,0.04729256968410203
allen_cahn,full_exp,10,0.027854565510539955,0.05026196530392213,0.027153655762023055,0.041073340595448316,0.050275926982596
allen_cahn,full_quad,10,0.02290963896990732,0.04371295386793242,0.02314510492054728,0.03659663360099294,0.04373087171210671
burgers,neither,10,0.30753811568562406,1.7951184974443508,0.2679712370944238,1.1673137621733312,1.7956978428531571
burgers,global_only,10,0.24548942883346309,1.7355596715264385,0.13022845685389467,0.7888198619428963,1.7378130700427006
burgers,local_only,10,0.20305095802279016,1.7606316762487944,0.07388710090711577,0.5173681912153278,1.7606316762487944
burgers,full_exp,10,0.2568020899097854,1.8153409899970305,0.048519061645120876,0.8969587844233373,1.8155166095532418
burgers,full_quad,10,0.26014135996280213,1.760472792785897,0.07022830849753448,1.007963761743254,1.766305154353132
wave,neither,10,0.12373526282251449,0.18976726929765103,0.12586894393972142,0.16138421405037878,0.18977573264816594
wave,global_only,10,0.13976251518248334,0.2335328649852933,0.1431031768277832,0.17754174744701096,0.2335328649852933
wave,local_only,10,0.02578461182272285,0.03294019910755941,0.025074107439511606,0.03004202255451465,0.032949378112872824
wave,full_exp,10,0.027468931570531964,0.035628288617123215,0.0277845107817819,0.03151458945599296,0.035647840774332966
wave,full_quad,10,0.026515759256722424,0.03263483276881492,0.025822426587682176,0.030144701580921404,0.03263483276881492
