id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
helmholtz__neither__44,helmholtz,neither,44,0.12493311433802033,0.08758998261351715,-0.03734313172450318,0.2402731339156987,0.1674848760764111
burgers__full_exp__44,burgers,full_exp,44,0.3518080421387774,0.3543495950992508,0.00254155296047337,1.911343280883605,1.9342284848780928
burgers__local_only__44,burgers,local_only,44,0.22224250883219313,0.19787312610918828,-0.024369382723004845,1.7354646170338457,1.758084069353955
helmholtz__full_quad__44,helmholtz,full_quad,44,0.052898125987804696,0.008685577006902787,-0.044212548980901906,0.06619168897142225,0.008701410673686386
helmholtz__full_exp__44,helmholtz,full_exp,44,0.03836827867383173,0.003924905958272573,-0.03444337271555916,0.05842777235711503,0.004351795146265434
allen_cahn__full_exp__44,allen_cahn,full_exp,44,0.041501257812926906,0.04197129239274773,0.0004700345798208244,0.0752146001507501,0.06233635221873732
wave__full_exp__44,wave,full_exp,44,0.15120500794628317,0.028047132367469554,-0.12315787557881361,0.21173911620467445,0.03226247794006465
helmholtz__local_only__44,helmholtz,local_only,44,0.10414759108134472,0.05203579809024734,-0.05211179299109738,0.15460344304150409,0.06725038156309539
allen_cahn__local_only__44,allen_cahn,local_only,44,0.040207154012272366,0.02928727684382932,-0.010919877168443046,0.06862419647343132,0.04626765444821193
burgers__neither__55,burgers,neither,55,0.3259002311138174,0.717412599974001,0.3915123688601836,1.6588687432242215,1.8246911579382201
burgers__local_only__55,burgers,local_only,55,0.2530131028452118,0.1804886513963351,-0.07252445144887668,1.7871510131459514,1.6156145548050813
helmholtz__local_only__55,helmholtz,local_only,55,0.14171954221035682,0.0537691647756882,-0.08795037743466862,0.15379435654819937,0.05719074608723057
helmholtz__full_quad__55,helmholtz,full_quad,55,0.03476276979802532,0.014530571281239472,-0.020232198516785847,0.045328726227758895,0.016338270257206005
allen_cahn__neither__55,allen_cahn,neither,55,0.08049617409023048,0.022969458363082364,-0.05752671572714811,0.13667295544305424,0.03710788075210189
wave__local_only__55,wave,local_only,55,0.1751240054212766,0.025423549494449655,-0.14970045592682693,0.258855183637825,0.04748483477354631
burgers__global_only__55,burgers,global_only,55,0.22532512058697085,0.18641585506306677,-0.038909265523904085,1.3597623956183764,1.5490120218402184
allen_cahn__full_exp__55,allen_cahn,full_exp,55,0.04385732949015722,0.02475236366187304,-0.019104965828284182,0.05581522107849746,0.048712666498311574
burgers__full_quad__55,burgers,full_quad,55,0.18470104351015598,0.1882310035057045,0.003529959995548504,1.5459768224859634,1.5778738971565107
burgers__full_exp__55,burgers,full_exp,55,0.19064940602638641,0.19778280152809022,0.007133395501703804,1.565468696217589,1.6296791879731498
allen_cahn__local_only__55,allen_cahn,local_only,55,0.03607583817191095,0.019962437731031128,-0.016113400440879822,0.06079860599129833,0.03878250869035471
wave__global_only__55,wave,global_only,55,0.25559772724800195,0.18670965503117798,-0.06888807221682397,0.5417343132922664,0.3962150698757938
helmholtz__full_exp__55,helmholtz,full_exp,55,0.05679387811253475,0.002870215262676861,-0.05392366284985789,0.06919442078930395,0.005805324875696748
allen_cahn__global_only__55,allen_cahn,global_only,55,0.06986447118559501,0.017352183141568882,-0.05251228804402613,0.13278666026958474,0.03600684770596124
allen_cahn__full_quad__55,allen_cahn,full_quad,55,0.03366667833164273,0.021274909187219446,-0.012391769144423286,0.05534873061470136,0.043464981455827334
wave__full_exp__55,wave,full_exp,55,0.18415734169915024,0.026707065084414977,-0.15745027661473526,0.2650316276034495,0.04241717192660216
helmholtz__neither__55,helmholtz,neither,55,0.142322751827434,0.10917668901578015,-0.03314606281165386,0.2749041525758193,0.21996398171909418
helmholtz__global_only__55,helmholtz,global_only,55,0.11787073491028123,0.027849720075687714,-0.09002101483459352,0.21826241564633916,0.05768418012005003
wave__full_quad__55,wave,full_quad,55,0.1504144747979991,0.026201719300966993,-0.12421275549703212,0.24479039903677524,0.062198661396534204
wave__neither__55,wave,neither,55,0.2546900262533752,0.19355781910444442,-0.061132207148930806,0.5383795433414206,0.35518129832867834
helmholtz__global_only__66,helmholtz,global_only,66,0.08074301753746553,0.05293532348011844,-0.027807694057347093,0.19955066759131118,0.0469023022865037
wave__global_only__66,wave,global_only,66,0.37317738041768095,0.14065959460149552,-0.23251778581618543,0.4276304923241985,0.1841248557232218
helmholtz__neither__66,helmholtz,neither,66,0.10119295603973338,0.07294041846299948,-0.028252537576733905,0.2663038288659147,0.20339504490360313
wave__local_only__66,wave,local_only,66,0.1357072664276565,0.031686166784214174,-0.1040210996434423,0.18261522434080105,0.03822058915355997
allen_cahn__neither__66,allen_cahn,neither,66,0.05276428062354452,0.030103192158452773,-0.022661088465091746,0.11852398608213834,0.05540234951061895
burgers__global_only__66,burgers,global_only,66,0.35813728694819097,0.34568860010157,-0.012448686846620982,1.6832495705549495,1.7097208662916499
allen_cahn__local_only__66,allen_cahn,local_only,66,0.040020012379603516,0.0257984484554027,-0.014221563924200816,0.06118492725027458,0.02553388649407795
allen_cahn__full_quad__66,allen_cahn,full_quad,66,0.03975865785431758,0.014942465802211653,-0.024816192052105925,0.053388693567583245,0.02495776505670838
allen_cahn__global_only__66,allen_cahn,global_only,66,0.042074788535734264,0.029386495085163764,-0.0126882934505705,0.09800793464779577,0.05563213049579191
helmholtz__full_quad__66,helmholtz,full_quad,66,0.03278111063686974,0.016299418471712134,-0.016481692165157606,0.05626476738291676,0.021451853794727367
burgers__neither__66,burgers,neither,66,0.3489151745908452,0.35352781999791544,0.004612645407070237,1.645805322398758,1.717422637664928
allen_cahn__full_exp__66,allen_cahn,full_exp,66,0.06106400175123674,0.02726017278187793,-0.03380382896935881,0.08006865902466231,0.02559699483734143
helmholtz__full_exp__66,helmholtz,full_exp,66,0.030606433924038487,0.001905141234134948,-0.02870129268990354,0.0513191124361119,0.004022288964421199
burgers__local_only__66,burgers,local_only,66,0.5211488038522615,0.5396012737872562,0.01845246993499472,1.9630693219197388,1.9404837065401392
wave__full_exp__66,wave,full_exp,66,0.14006579632979807,0.04478140987172759,-0.09528438645807048,0.19704322547425623,0.054972463619704315
