experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,33,succeeded,,0.644339232899433,1.1420178519138544,0.098086672488575,0.05022081532371504,0.3478084943129172,2.2041708289998496,197376,0.3134169384475209,1.0,17.806507125274077,1638400,0.4814931380853628,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00033
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,44,succeeded,,0.5242902264718828,0.9713285300159281,0.08919916475305807,0.059642051005412956,0.3137156551540939,2.1663413490000494,197376,0.2744687682836086,0.9999999999999999,19.125558236215277,1638400,0.4794721962499344,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00044
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,55,succeeded,,0.5807263887920292,1.1465917188472898,0.061309612574498455,0.07253299466473509,0.3240672870060656,2.514933689999907,197376,0.31195753888686645,1.0,10.944692558262467,1638400,0.7071770420336496,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00055
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,66,succeeded,,0.5581131094494101,1.0233708504615049,0.06590902285888102,0.14103005498912274,0.424078974056776,2.1785866609998266,197376,0.36137523225594864,0.9999999999999998,8.868093443018381,1638400,0.5805358093413956,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00066
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,77,succeeded,,0.5989488297996484,1.082054094293721,0.12050577380063085,0.04588348813603447,0.27326708538773337,2.1583034089999273,197376,0.47015376589854996,1.0,7.229041778656278,1638400,0.02419091350156052,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00077
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,88,succeeded,,0.45016362278418287,0.975005855688615,0.06569410921457336,0.05682218335353483,0.22673965107490268,2.1581765239998276,197376,0.2529234659673723,0.9999999999999999,16.224091337721358,1638400,0.4813207548685624,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00088
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,99,succeeded,,0.5050497949826521,0.9333900805347161,0.05231488609561247,0.032084813375509544,0.2276847088480486,2.428342596999755,197376,0.40538968703331285,0.9999999999999999,6.885265856750639,1638400,0.6900978779126041,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00099
sparse_noisy_h05,"Burgers bruité — KDE 0,5×Scott",burgers,vwca,111,succeeded,,0.6138604690566357,1.0829311187979207,0.11089565176190208,0.03964372523909786,0.15619919218968842,2.487957116999951,197376,0.5262513522122181,1.0,6.555966826754186,1638400,0.07107221956570824,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h05_v1/vwca/seed_00111
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,11,succeeded,,0.5193883782118566,0.9625011104381865,0.0,0.06829478157513566,0.324672715875327,2.138887041000089,190976,0.7594152889553105,0.9999999999999998,3.983282494376909,1638400,0.7244299398805526,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00011
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,22,succeeded,,0.5263795940023476,0.913758941393193,0.0,0.10005770058395712,0.3184480002382352,2.0935942920000343,190976,0.8235089435424431,1.0,3.3905636439063285,1638400,0.568002462487107,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00022
