method,seed,relative_l2,pointwise_abs_q95,pointwise_abs_q99,max_abs_error,peak_t,peak_x
m5,11,0.6998486630025675,1.0312068979813045,1.3385325449183778,1.4106441972782096,0.6375,0.03749999999999995
m5,22,0.502384435538016,0.521700991235656,1.5555131701173996,1.6903924568603546,0.48750000000000004,0.04999999999999995
m5,33,0.4221229279724053,0.4899265890868817,1.2360570043074113,1.4189118169686488,0.6,0.024999999999999946
m5,44,0.5117980340930312,0.6777258698137492,1.1669565799860608,1.4065186034429962,0.925,-0.03749999999999995
m5,55,0.46345009211259225,0.7124763097740011,0.8842132259603241,1.279379048957054,1.0,-0.024999999999999946
m5,66,0.33129210811230536,0.4653211876819934,0.5769784607651666,0.8326411597543921,0.4625,0.024999999999999946
m5,77,0.5557838634097462,0.9727254083082707,1.127112405279922,1.1917803183988962,0.5125,0.03749999999999995
m5,88,0.394758414662429,0.5204194598927903,1.0365784680439403,1.2082496022661746,0.5499999999999999,0.03749999999999995
m5,99,0.5927865711158306,0.792515518397539,1.4657009021467544,1.5316709081476656,0.5875,0.03749999999999995
m5,111,0.49897666358637965,0.6618225238348141,0.9353221272801358,1.1985131227628836,1.0,-0.024999999999999946
m6,11,0.47966026899939135,0.669207276560914,0.9088079977826976,1.254372479185756,1.0,-0.024999999999999946
m6,22,0.5392263227811955,0.7161155705404075,1.3723755116330256,1.4509206834534585,0.7625,0.03749999999999995
m6,33,0.3783558201266209,0.48544332216466235,0.6225110054169257,1.0551349565013752,0.4625,0.024999999999999946
m6,44,0.435115392831741,0.6100587674350664,0.8516877778408227,1.3715883964797517,0.9125,-0.024999999999999946
m6,55,0.4490471416937437,0.6275967204400245,1.039764465240707,1.1239013860133278,0.525,0.03749999999999995
m6,66,0.921826994636327,1.4551579451864736,1.6518325010045556,1.7398255286604662,0.65,-0.03749999999999995
m6,77,0.46160605739021005,0.7121273032483355,1.0633809449618696,1.1519754620375395,0.85,0.024999999999999946
m6,88,0.6991558386696095,1.3521162354021334,1.745056062270526,1.823657557608408,0.575,0.03749999999999995
m6,99,0.42789020030794145,0.5726165809039235,0.854640433633881,1.080544914986446,0.47500000000000003,0.03749999999999995
m6,111,0.5302333741317596,0.7543946744924934,1.0830189167242295,1.3443115644079726,0.9625,0.03749999999999995
vrba,11,0.6841781414961106,1.3736807588090996,1.8499886468297368,1.9572006005719664,0.5375,-0.03749999999999995
vrba,22,0.37404325672848515,0.3959655165974888,1.3848145934727614,1.6907095607870846,0.65,0.024999999999999946
vrba,33,0.23575996381488715,0.07654036262772534,0.7961213822337393,1.6310793945192685,0.75,-0.024999999999999946
vrba,44,0.34184569956155575,0.030724863925899792,1.5183295503343122,1.8616389276334044,0.5499999999999999,-0.024999999999999946
vrba,55,0.1805545486979012,0.0791860092485966,0.4995064352025021,1.4795882349573404,0.9125,-0.024999999999999946
vrba,66,0.544250732024022,0.578895489366109,1.7416921679933082,1.8734098425503638,0.5875,-0.03749999999999995
vrba,77,0.21073978542674998,0.06391599417323124,0.6917843900951501,1.7510801234369375,0.6875,0.024999999999999946
vrba,88,0.16800331061444118,0.1721440937945632,0.4197571977611585,1.2347984122738858,0.625,0.012499999999999945
vrba,99,0.1527853923726185,0.040709552912292946,0.4123768583862638,1.36037983777943,1.0,-0.024999999999999946
vrba,111,0.26573959579473516,0.12613904529549502,0.9215546998260881,1.7908561434793056,0.6375,0.024999999999999946
