method,n_seeds,relative_l2_median,pointwise_abs_q95_median,pointwise_abs_q99_median,max_abs_error_median,median_field_peak,median_field_peak_t,median_field_peak_x
m5,10,0.5006805495621979,0.6697741968242816,1.1470344926329914,1.342948826200025,1.199302453808277,0.5375,0.03749999999999995
m6,10,0.4706331631948007,0.6906672899046248,1.0515727051012882,1.2993420217968643,1.0791983318248022,0.5,0.03749999999999995
vrba,10,0.25074977980481117,0.1026625272720458,0.8588380410299137,1.7208948421120112,1.3914552314568114,0.975,-0.024999999999999946
