step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.010862695000014355,0.6799979699741878,0.010737852073222717,0.6307053727201916,0.03855474518077355,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.008675688824424446,0.003635588270319472,0.051211085889221616,1.0,1.0,0.0009765625,256,0.8126665388084116,1.0,0.4985284527090193,3.6416507221523258,65536,0,0,512,768,nan,nan
25,0.11237863900032607,0.2801713621762663,0.003088653565937889,0.20555175911978574,0.07153094949054269,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.009139612672262879,0.023381716028798804,0.17288121811526233,0.8487618657649586,0.9860712094782431,0.002134433293163961,6400,0.8681012690852264,1.0,0.5061234062386399,2.873854409743153,131072,0,1024,1024,8448,nan,nan
50,0.21298616700005368,0.26572060311717977,0.0031900259375460004,0.16714804402359293,0.09538253315604084,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0077127544153361895,0.02523085741752014,0.1388808740482557,0.8753193308777185,0.9883037221520123,0.001678561297636511,12800,0.8589448241750909,0.9999999999999998,0.5002137129560272,2.72503829538731,196608,0,2048,1536,16384,nan,nan
75,0.3140205650001917,0.2591161204484934,0.0024448287015841454,0.1657727411537419,0.09089855059316737,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.006889082154275723,0.023532257803377733,0.1387695169546987,0.8263084088150567,0.9842731317304897,0.0021355370652887005,19200,0.8488191312268786,1.0,0.5020847991042736,2.8648123385281576,262144,0,3072,2048,24320,nan,nan
100,0.41873191200011206,0.24835123547834498,0.0025137686206842718,0.16227838569226857,0.08355908116539212,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.007915826865568208,0.022195614110829414,0.432415228871461,0.7596150453133693,0.977830365280437,0.0025200557853740386,25600,0.8816053507198804,1.0000000000000002,0.5199769572747512,2.3893322898666387,327680,0,4096,2560,32256,nan,nan
125,0.5227703980003753,0.23345319328016562,0.0054190619573126365,0.14880180762165798,0.07923232370119498,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.009002253495129342,0.024558929791938237,0.4342928529872418,0.7581994323100918,0.9766046778643644,0.0025723501060277553,32000,0.8945711860665428,0.9999999999999999,0.5181479887959458,2.3958960989426896,393216,0,5120,3072,40192,nan,nan
150,0.6307545030003894,0.21559542957800007,0.009786651956457162,0.1339025946560881,0.07190618296545481,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.011199827268018601,0.02856678257409352,0.4574157800041892,0.749415074965761,0.9760920327141573,0.0026865310760680024,38400,0.8738395288049348,0.9999999999999999,0.5062920971489077,2.5558073320716694,458752,0,6144,3584,48128,nan,nan
175,0.7287486950003768,0.1908341793899924,0.011932257552981045,0.11582738312821851,0.06307453870879284,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.011225386273017826,0.028592845844372366,0.3935438712564163,0.7695789895941939,0.9781949795375912,0.002639170425284388,44800,0.8514449680764677,1.0,0.4990341364400916,2.8351625298532026,524288,0,7168,4096,56064,nan,nan
200,0.8326248090002082,0.15759381431160496,0.011819993896678966,0.09316096897200456,0.052612851442921445,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.007172393385053089,0.026487409609989347,0.20031548163764928,0.7754373026858511,0.9786585678671734,0.0024254569705757243,51200,0.8875205812586965,1.0,0.517523305911478,2.6568944682177453,589824,0,8192,4608,64000,0.8520685966140575,0.9299720672816936
225,0.9406827850002628,0.12057113202602267,0.007886230712911224,0.07142453386615044,0.041260367446961,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.00875877190050603,0.019405594608546895,0.11701067472426191,0.7705823559335013,0.9777625781276483,0.0022114848302366655,57600,0.8357738923588888,1.0,0.5064831236401413,3.364615108733546,655360,0,9216,5120,71936,0.8520685966140575,0.9299720672816936
250,1.0417247550003594,0.09131063037361326,0.011371726030087593,0.04784671241512929,0.032092191928396366,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.04187481022251572,0.0448283245040679,0.5046155478906209,0.7737603305947957,0.978379497857466,0.002473684484090844,64000,0.8396637992419465,0.9999999999999999,0.5042293392036847,3.033408983949423,720896,0,10240,5632,79872,0.8520685966140575,0.9299720672816936
275,1.1499252460002936,0.0663124741035311,0.008489911073604351,0.03090767171162915,0.026914891318297593,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03601772010610172,0.03887500387267415,0.44645625666443556,0.7384790293554448,0.9748615100289255,0.0031123500197294844,70400,0.8078215625202987,0.9999999999999999,0.49322755751704633,3.173495514054929,786432,0,11264,6144,87808,0.8520685966140575,0.9299720672816936
300,1.2508068980000644,0.04636227064813771,0.004533935402069604,0.019152180746718407,0.022676154499349694,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.023435814814953874,0.06440484855619945,0.06515589925050912,0.7272470314030893,0.973839839488604,0.003345761607317051,76800,0.8472663892299305,1.0,0.5062103042348807,3.08757952108432,851968,0,12288,6656,95744,0.8520685966140575,0.9299720672816936
325,1.353788519000318,0.033801140745257224,0.002472733418575739,0.011034336085819003,0.02029407124086248,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.03465786337357302,0.08686161189150549,0.022411253848723542,0.7215995032686995,0.9729159640388888,0.002745986958393274,83200,0.8221203447518708,0.9999999999999998,0.515033172490837,3.9017532149418743,917504,0,13312,7168,103680,0.8520685966140575,0.9299720672816936
350,1.4631576650003808,0.029806139858830842,0.0026129691160010696,0.00820046766700168,0.018992703075828093,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.0795833166787066,0.11331947672462643,0.015835857797346,0.6836307413306949,0.9705271576537022,0.005976042719068043,89600,0.8204122614518973,1.0,0.5117379351082363,3.3861221288803476,983040,0,14336,7680,111616,0.8520685966140575,0.9299720672816936
375,1.5746870800003308,0.02792639424032045,0.002241336287707928,0.007553900131795778,0.018131157820816746,nan,1.0,1.0,1.0,nan,0.0,0.0,0,0.13232128503490947,0.1179069326133804,0.45402931005638403,0.6618031799979827,0.9676014432560718,0.003779777770711471,96000,0.7982502025520016,1.0,0.5014385537117199,3.1264588673399296,1048576,0,15360,8192,119552,0.8520685966140575,0.9299720672816936
