step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.04817773299964756,0.6597328733753327,0.056983868586773866,0.5907927118086921,0.02561273664699599,nan,1.0000152827308015,0.97583615183856,1.0241485654306384,nan,0.04832769632287992,0.04832769632287992,1,0.01624757513132978,0.001957899519946709,0.0009548788548623054,1.0,1.0,0.00048828125,512,512,0,1024,2048,nan,nan
50,0.514538315000209,0.3381037839119828,0.007146588850276606,0.29208494096467813,0.04484704914080051,nan,1.0000152827308015,0.97583615183856,1.0241485654306384,nan,0.0,0.04832769632287992,1,0.01624757513132978,0.001957899519946709,0.0009548788548623054,1.0,1.0,0.00048828125,25600,512,0,1024,27136,nan,nan
100,1.0198974590002763,0.1734621533960629,0.040536541246651625,0.12836050363146467,0.010674470999611729,nan,1.0127305961016448,0.9448573098131388,1.0424120940852162,nan,0.06195768405084234,0.11028538037372226,2,0.01409463061521704,0.004200360475129929,0.026028696935320342,1.0,1.0,0.00048828125,51200,1024,0,2048,54272,nan,nan
150,1.4716013739998743,0.14852232412169206,0.05432084236391587,0.09345748501403148,0.004994145032487465,nan,1.0127305961016448,0.9448573098131388,1.0424120940852162,nan,0.0,0.11028538037372226,2,0.01409463061521704,0.004200360475129929,0.026028696935320342,1.0,1.0,0.00048828125,76800,1024,0,2048,79872,nan,nan
200,1.9518793899997036,0.1402720066149586,0.05616966368596128,0.08350118470396453,0.005229189210092923,nan,1.0422495044910123,0.9133759047866167,1.044374590722371,nan,0.06296281005304427,0.17324819042676654,3,0.04501980003168455,0.01778029033154914,0.04610075797895766,1.0,1.0,0.00048828125,102400,1536,0,3072,107008,nan,nan
250,2.3648905600002763,0.13542399184071321,0.04857437416936969,0.08641520886422581,0.005618486795988871,nan,1.0422495044910123,0.9133759047866167,1.044374590722371,nan,0.0,0.17324819042676654,3,0.04501980003168455,0.01778029033154914,0.04610075797895766,1.0,1.0,0.00048828125,128000,1536,0,3072,132608,nan,nan
300,2.8429207859999224,0.12448982274679098,0.04535216505219199,0.07917247752818926,0.005977889364709393,nan,1.063804116920575,0.8835303223663706,1.0526655607130544,nan,0.059691164840492195,0.23293935526725873,4,0.04661216478837217,0.021515149510287566,0.05919189453268025,1.0,1.0,0.00048828125,153600,2048,0,4096,159744,nan,nan
350,3.347383850999904,0.11295427506086542,0.0351607715701404,0.0813888199105515,0.00345846900832591,nan,1.063804116920575,0.8835303223663706,1.0526655607130544,nan,0.0,0.23293935526725873,4,0.04661216478837217,0.021515149510287566,0.05919189453268025,1.0,1.0,0.00048828125,179200,2048,0,4096,185344,nan,nan
400,3.9895269010003176,0.10310697582485794,0.03774309858832785,0.06837237134660377,0.00322809395598655,nan,1.0895610324399803,0.8568134011269745,1.0536255664330454,nan,0.05343384247879246,0.2863731977460512,5,0.03363264462784549,0.0397401825627965,0.1586559678288786,1.0,1.0,0.00048828125,204800,2560,0,5120,212480,nan,nan
450,4.39420126099958,0.09831924338182352,0.03302819211711905,0.07003326813134697,0.002209105106752772,nan,1.0895610324399803,0.8568134011269745,1.0536255664330454,nan,0.0,0.2863731977460512,5,0.03363264462784549,0.0397401825627965,0.1586559678288786,1.0,1.0,0.00048828125,230400,2560,0,5120,238080,nan,nan
