problem,variant,n,relative_l2,max_abs_error,q95_abs_error,q99_abs_error
block_missing,m5,10,0.5616569419745279,1.0098900155401678,0.7527799486669544,0.9109626229489525
block_missing,m6,10,0.5539294118584446,0.9969280990452785,0.7487325003714111,0.8988305112167273
block_missing,m7,10,0.5339662730412484,0.9896572560944104,0.7174815627852269,0.8815227694766143
block_missing,vw,10,0.4859548915842762,0.9855463634717201,0.6772443106314312,0.8636465146581009
block_missing,vrba,10,0.3439834866316426,1.0272863368767342,0.49985701449883485,0.8053450494549701
sparse_clean,m5,10,0.5867349930345188,1.112523018041958,0.7774184614378093,1.0253169312376706
sparse_clean,m6,10,0.5582278504782253,1.0354048540619316,0.7495476147445488,0.9210730697715434
sparse_clean,m7,10,0.5547064579871833,1.100803821983916,0.713473308215137,0.9810235146002583
sparse_clean,vw,10,0.4923761063673342,1.0114758831350437,0.6917570549314498,0.8773140424402179
sparse_clean,vrba,10,0.36866123931263306,1.3275070222904088,0.4324702663207751,0.9454649574567638
sparse_noisy,m5,10,0.5724775390347034,1.1051729220349582,0.7730134206176031,1.0023755833644146
sparse_noisy,m6,10,0.5580769602634519,1.0263829917106544,0.7525795975456708,0.9134416980918827
sparse_noisy,m7,10,0.5418870142117511,1.164544367755573,0.7317243009912049,1.0654086529693465
sparse_noisy,vw,10,0.5037484125458839,1.050994749924356,0.6945428910841825,0.8900550869237043
sparse_noisy,vrba,10,0.3760301666218935,1.3719330403964092,0.5125017939672913,0.937185965312717
extreme,m5,10,0.6118483587432781,1.0086725732982873,0.7738924841630115,0.9046895501053668
extreme,m6,10,0.6033010808541002,1.037984821248966,0.7723446576851565,0.9255419505417177
extreme,m7,10,0.5914572694442857,1.0274794331446782,0.7640006362407646,0.9089044013484443
extreme,vw,10,0.5603708172099245,1.1032600791497038,0.744153085878557,0.9738331253968551
extreme,vrba,10,0.4588334816100524,1.0232593291340715,0.6283697643797271,0.8800991449761948
