id,problem,variant,seed,reused,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,model_sha256
block_missing__m5__77,block_missing,m5,77,False,0.59805629195506,1.0044504874983033,0.7961089811249908,0.9217236500617707,7724085aef474ae9827f6111a242c90a6c379824ef9e79524c621cd5371286d9
block_missing__m6__77,block_missing,m6,77,False,0.6070648152207933,1.0018029819650667,0.7977146900753114,0.9192391782325545,e6eea4064d28daba3303fc3a4da900d9fefba1284b206391c389cfa33a5ab33e
block_missing__m7__77,block_missing,m7,77,False,0.5611560574563166,0.9829570990555344,0.7490536623535453,0.8923682469214629,0910c1e9917ca902703fca8e5a2cc25653ab3b5d5b52b89f1c5195d9b19132ed
block_missing__vw__77,block_missing,vw,77,False,0.47632780776295736,0.9880464696215697,0.6435021238664917,0.8391416998919037,0e119196185e7c5755d8b9240028b125c61214c7823a56c6cda64b09a7e50b81
extreme__m5__77,extreme,m5,77,False,1.010564407119659,1.764893508855211,1.3431074168207484,1.6537666139777243,4046fe6f14c0f3225d044538ce478404c5b868398344c98d3e01387a67479b3b
extreme__m6__77,extreme,m6,77,False,1.0266302299728134,1.7658124347891162,1.3570597251651824,1.6593620994731084,e2248246eec1a18cf772d91ed1cbb3413d5a58f9214bcd2cf23d48fadb2333fc
extreme__m7__77,extreme,m7,77,False,1.0083075720886163,1.8623350269634518,1.3559405063979426,1.726744474905867,45ca527b2d1171acccb4fa3d5d6f1d4cb43c4c0bb3596dfde1eb275aee30bfc3
extreme__vw__77,extreme,vw,77,False,0.8516645316603255,1.9730629694614514,1.1693887581583264,1.7128155002434335,45b3929d3ec0819f7910c905c83a675166ab044261f296de9accffe9b3317f45
sparse_noisy__m5__77,sparse_noisy,m5,77,False,0.6003555106628224,1.1059433838146555,0.7909856620248784,1.0012208640250089,b59f8fc6733319135ef54f34a1672e51f9c98e5d958bf76a974e76e596fca617
sparse_noisy__m6__77,sparse_noisy,m6,77,False,0.603545303085751,1.1044346786229335,0.7951883630013032,1.0029603369249909,aeed4c2933683fe75407a51021af8a5ae8d8f28ea5d58b6773d10474899458ef
sparse_noisy__m7__77,sparse_noisy,m7,77,False,0.5586218002109958,1.0612759497773576,0.7363576529295174,0.9422453379471025,9593a742fe65716ebd4039ad9fabeaf6f25d2bc45a8fafea99ed975dfe68e279
sparse_noisy__vw__77,sparse_noisy,vw,77,False,0.5269093064940625,1.2181737290529644,0.6928290033400171,1.1015573418046383,14c309bc4baf72ae446c5c2fb4cafcb860655dd552e56ab2251f0bcae8bfcd3c
extreme__m5__88,extreme,m5,88,False,0.7045465678825026,1.3639491737466396,0.9814921104821135,1.2618077924619011,3fe59ada7c3a90f30867dce06f967d9b232339f9a119300d756d880916810cae
extreme__m6__88,extreme,m6,88,False,0.7299711048483711,1.4106257140001799,1.023533208543432,1.3072401749072364,f9a11fbe21a6308b8735b9b66906d6a1cba1b80871d87742aa4698340b54aea6
extreme__m7__88,extreme,m7,88,False,0.630292132352064,1.3041962020059312,0.8626292876415494,1.1949527125516013,9d6bbb408042ee436ba75357b09b559d26150b9f226db22792bce0a225d92865
extreme__vw__88,extreme,vw,88,False,0.6982416854267406,1.4936766477537933,1.027715121388332,1.3768976484222715,ea41eba6023b2fd1981ec33605749243f365244483b3f691e67ba8344e9a1028
sparse_clean__m5__88,sparse_clean,m5,88,False,0.5728044607606624,1.2091505100034532,0.7771021076450635,1.0835908252278463,c3619d2d5cd0e924729b8a9a9483f964231812c03bacfd85d6c51bd91558e035
sparse_clean__m6__88,sparse_clean,m6,88,False,0.5046599910075629,1.0316845871813092,0.6385273262000263,0.8719520811953083,5812dffcb6a3f3aa7c22948005326f70988de4a4823818a372bc3316ca5960b1
sparse_clean__m7__88,sparse_clean,m7,88,False,0.4541496950892368,1.023808678667052,0.5983115434851832,0.8456792429306905,a5b6df21a88616fbfc6fad6daf313728c058ab2dde901bd3890f9e0991bc6f5b
sparse_clean__vw__88,sparse_clean,vw,88,False,0.4787551035304783,0.9992408745245207,0.6341593672530214,0.8382876545987821,121f9a14a9af7a93ef4ba1709f2f33ce15570966d1ccbdb71fe1060c81c58377
block_missing__m5__88,block_missing,m5,88,False,0.5248087854515702,1.0425363173480617,0.7086523198829632,0.9140154321499212,0f873e35c4a7a2503f6b48561923a5debeabb92cb08f2fa17aadbb4b8e359976
block_missing__m6__88,block_missing,m6,88,False,0.5306789950267643,1.0022118203555699,0.7088938110063144,0.8758616593463162,ffec735742a626cad90ddda1732481de30dc78ac9035329231181452a560df26
block_missing__m7__88,block_missing,m7,88,False,0.4880966639237088,0.9698169962124953,0.6659284626839168,0.8430920995100201,898a99f67608a17c699467ef0f4a5fa8c9a28ce3a429b0d02de948b030883063
block_missing__vw__88,block_missing,vw,88,False,0.4955417825532876,1.0265981669089246,0.6781737987578014,0.8834299846918285,3e2b79a33e338d5a135a86c982c1257ce1669d760d3a55c0f39113016e76381f
sparse_noisy__m5__88,sparse_noisy,m5,88,False,0.5516921951839612,1.1889828116517354,0.7334201604686656,1.0672678602849661,a7007517bf020a2043c8df2f8b6703e4f1ed4c08cf8c93f5a3d5a3e03d1ed840
sparse_noisy__m6__88,sparse_noisy,m6,88,False,0.4941760432591478,0.9929876358360231,0.6281123401545672,0.8277379987964668,9db27059ff6ab285d67aee0a4ce9faff82a419a722322c27b0d6f64a7c126193
sparse_noisy__m7__88,sparse_noisy,m7,88,False,0.5257465555702984,1.2620234831135917,0.7270909490528924,1.1309580120799982,6b55b6a4619e12abc29e687f97ecc15c039fb87ff18a6b867c5ea719b5b56896
sparse_noisy__vw__88,sparse_noisy,vw,88,False,0.4557005012509948,0.9991960865302404,0.597900815548744,0.8281793388213906,c3f693032d571c56e199033f416c52b876a351f90fc1211a1a3f1ff8ffbdd7d5
block_missing__m5__99,block_missing,m5,99,False,0.5513765791138423,1.0054665637018994,0.7110192011220522,0.8763920497320546,2ca9f00bf396f15f41018c347ed338056bfc4f357553dd5cf0c62022abc4e3c1
block_missing__m6__99,block_missing,m6,99,False,0.5494434872880739,0.9910393891574002,0.7199592763123985,0.8839540762926662,90c3ab3f08c4e58af3e1b4ff383e3e529a909acf152f9f9730371ed9b98d94f0
block_missing__m7__99,block_missing,m7,99,False,0.5195027210184416,1.0045005118842931,0.6842126960800119,0.8632152297943795,4c974dfe7d100dc9351b61982423e5ca20953ff801e25b3fe59c6e13853a8fa3
block_missing__vw__99,block_missing,vw,99,False,0.49081945619339845,0.9777342722085829,0.6786252619033817,0.8568701021108518,47851f544aef0777fe64c222a8dff84672ac66367c975b97bf832b09f1408336
extreme__m5__99,extreme,m5,99,False,0.5828801171497179,0.9779281516887687,0.7389164389102971,0.8821768673094947,35d5ff8132b04d97a4ff2603667911038ef5a1400248a9d44a76821870fdadf1
extreme__m6__99,extreme,m6,99,False,0.5846397364738553,0.9574154540779751,0.7419107235060335,0.8789639582769867,0319fb8208352dc152f8e292d5f24cf09b433256f1840ca6990477dba0c5a6b7
extreme__m7__99,extreme,m7,99,False,0.5456113571590527,1.0452706638420723,0.7145269833162242,0.9118089824734783,e4c05f2c7901616361c19ca9d9d7978c326f3b5913084f46accd4cb9093e2d18
extreme__vw__99,extreme,vw,99,False,0.5120897653545173,1.0029408579336105,0.6945722440748504,0.899276137069488,f9b837f90eef142895d61424ba974dca73a068e841930f23017394f344e45def
sparse_clean__m5__99,sparse_clean,m5,99,False,0.5407307475597994,1.008137088302286,0.7196672254522718,0.8853765972191731,65b594fa45433a8524291434b115bb9c80a93a11a9e1302108c909edc1e0b4f7
sparse_clean__m6__99,sparse_clean,m6,99,False,0.5481722667745408,1.0065730615890947,0.7279916438130902,0.8860468154976529,e13c72a8802721aad1a2bdd6305ccf5988a22ad9cf7cff6e365a4ccd6de1abe2
sparse_clean__m7__99,sparse_clean,m7,99,False,0.5110297194957784,1.0690828903025484,0.6934135796213562,0.9303259917665894,5afb133d3bead9e9fef1f3426a455a8df7fcbb2c122a3f29964a011bdcff6fc7
sparse_clean__vw__99,sparse_clean,vw,99,False,0.48637371801848184,1.055991814754986,0.6801283043996373,0.9134755951985252,196e780ac2f35637934dec88a7454714fdf97c90590f10c5cbaf56f3d5851420
sparse_noisy__m5__99,sparse_noisy,m5,99,False,0.5620504826256791,1.0521092766723426,0.755041179210328,0.9420215641472923,1c89501dd1e10653354f08ed8b3e5d97fb041f7051a2883e796cefb4cfdb2943
