step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.016322401999786962,0.5288573360956988,0.003246838109737752,0.34500817990937166,0.046838955300920436,0.14619669153353512,1.0613715927278131,0.9661542891994701,0.9691151622137714,1.0033589558589453,0.12946109717351695,0.12946109717351695,1,0.031113491648572543,0.025988683476970014,0.1989181921998127,1.0,1.0,0.0009765625,256,256,0,512,1024,nan,nan
25,0.10401964700031385,0.48148609600609393,0.00925499923517985,0.3089031505297583,0.054998050400734716,0.13367712547448715,1.1443612547043447,0.9289458310606019,0.935623999075596,0.9910689151594573,0.16597932395306314,0.2954404211265801,2,0.032567159153845435,0.02425484198309355,0.11780110839514794,0.879082207681882,0.989011886299678,0.0016272454989404224,6400,512,1024,1024,8960,nan,nan
50,0.19203135800034943,0.4056089850952872,0.011213296502576527,0.2625604598514545,0.04509521720844972,0.11956597532522653,1.2283624170534182,0.8923984523031656,0.9019193053814131,0.977319825262003,0.16800232469814702,0.4634427458247271,3,0.028256388720680602,0.020437442479505928,0.43065253969123574,0.8665169670701388,0.9884727572595928,0.0017156883566530258,12800,768,2048,1536,17152,nan,nan
75,0.2834552149997762,0.26378456817905827,0.040094170979439764,0.14080536530615045,0.014576417075842995,0.08165140856577412,1.3341087635727054,0.852993577520084,0.8622757175207478,0.9506219413864628,0.2114926930385742,0.6749354388633013,4,0.0600835246398632,0.03571079550113154,0.36475084164183585,0.7638936700359301,0.9775401306579843,0.00214857021934431,19200,1024,3072,2048,25344,nan,nan
100,0.4320560040005148,0.2583632382627682,0.060606779791766624,0.1266842628634668,0.0028045614763593345,0.0711029890430746,1.4365571938805335,0.8152811092585508,0.8240991422591815,0.9240625546017343,0.20489686061565626,0.8798322994789576,5,0.10746560639505758,0.06954471722712242,0.5645743786491831,0.6662011901989291,0.9664104254402816,0.002700674794458153,25600,1280,4096,2560,33536,nan,nan
125,0.5587645570003588,0.25556564370876633,0.04876228970726386,0.13810968951969788,0.005350755804732031,0.07637347908403538,1.526987627109305,0.7805927408426867,0.7878769386585076,0.9045426933895006,0.18086086645754318,1.0606931659365006,6,0.11913302380679067,0.06861288055569495,0.7424313443171258,0.659493256980426,0.9654592992721555,0.002895671620290232,32000,1536,5120,3072,41728,nan,nan
150,0.650867439000649,0.2478077098276028,0.03866821257328806,0.14940808884158788,0.005746200158600985,0.07797580832037478,1.6062832407690935,0.7488263975424566,0.7538012436592669,0.8910891180291828,0.15859122731957698,1.2192843932560775,7,0.08782774687826439,0.05063979278768447,0.6329735155113977,0.6604864197784446,0.9665283407987822,0.0027969651249738266,38400,1792,6144,3584,49920,nan,nan
175,0.7471642139998949,0.24207284891821146,0.039221236615001986,0.14264492549712662,0.0064698621153119916,0.07843406831005174,1.6790872616018098,0.7187000146867052,0.7221645993601912,0.8800481243512939,0.1456080416654324,1.36489243492151,8,0.09038485572811969,0.05479556387494468,0.6097253695087865,0.6558837930142515,0.9652479159359139,0.0033047920868663604,44800,2048,7168,4096,58112,nan,nan
200,0.8435673809999571,0.246572023531563,0.039285216652882156,0.14951282712300112,0.006166946823318184,0.08086462057728937,1.7452877094662647,0.6905157725610467,0.6924058396997405,0.8717906782729484,0.13240089572890956,1.4972933306504195,9,0.09761043290219154,0.056147393057691314,0.6858804556850717,0.6384860503121724,0.9635579355509121,0.003473320293535475,51200,2304,8192,4608,66304,0.6404268494208136,0.9873758100832541
225,0.9332081210004617,0.23481432590291604,0.028855028611893596,0.15852201428222748,0.006407052584609629,0.08417801088168389,1.8001804201557774,0.6649583387993462,0.6653130460394852,0.8695481950053916,0.10978542137902536,1.607078752029445,10,0.07701532313048291,0.04322648559941936,0.6098509644409381,0.687777762380797,0.9690669283158949,0.0027376257567654624,57600,2560,9216,5120,74496,0.6404268494208136,0.9873758100832541
