problem,variant,n,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_max_abs_error
extreme,neither,10,0.5381183853051865,1.0215969190805674,0.7232632747642695,0.8977330246724315,1.0216660639810617
extreme,global_only,10,0.5381199794486045,1.0228783689838328,0.7131163795171003,0.899331246194797,1.0229721606891204
extreme,local_only,10,0.4469366512801458,1.0189963828791655,0.6180665619443395,0.8775743116293933,1.0190235000485384
extreme,full_exp,10,0.4588334816100524,1.0232593291340715,0.6283697643797271,0.8800991449761948,1.0232932318601646
extreme,full_quad,10,0.4769516409121948,1.1562992776291199,0.6631047989079012,0.9994221322932002,1.156423613500102
sparse_noisy,neither,10,0.4630580611382501,1.102691148491317,0.643958941886166,0.9203823295227532,1.1029010745314203
sparse_noisy,global_only,10,0.4637303045993795,1.1180558465815515,0.6400634071093927,0.9240954493457147,1.1182314024878584
sparse_noisy,local_only,10,0.37332674601342386,1.3621555297980326,0.5097096552340782,0.9331144532890592,1.3661998632734589
sparse_noisy,full_exp,10,0.3760301666218935,1.3719330403964092,0.5125017939672913,0.937185965312717,1.3738448851342357
sparse_noisy,full_quad,10,0.41815708009091146,1.4262535925910576,0.4900621261824041,1.1318559115873654,1.4262535925910576
sparse_clean,neither,10,0.46060575069273724,1.0658145464350661,0.6504518956077663,0.8999395412824596,1.06610628039333
sparse_clean,global_only,10,0.45779407261338734,1.0737759130358442,0.6478072179778206,0.9035674188229581,1.0740185322293834
sparse_clean,local_only,10,0.3843894666184946,1.380678491668339,0.46492081267492535,0.9643414933468417,1.3874360405728965
sparse_clean,full_exp,10,0.36866123931263306,1.3275070222904088,0.4324702663207751,0.9454649574567638,1.327556105150293
sparse_clean,full_quad,10,0.4032855679808708,1.463285698547006,0.4804891172983721,1.1073196695229623,1.463285698547006
block_missing,neither,10,0.4400333398548729,1.0052329055203222,0.6297059701727454,0.8554603814053412,1.0053450602361225
block_missing,global_only,10,0.4379266024677875,1.004583418711937,0.6267490722793383,0.857291118541628,1.004702812901567
block_missing,local_only,10,0.3495059608838159,1.0080640889143657,0.51055431470032,0.8047423800871318,1.0084946120428544
block_missing,full_exp,10,0.3439834866316426,1.0272863368767342,0.49985701449883485,0.8053450494549701,1.0280876347531864
block_missing,full_quad,10,0.34288321361219504,1.1657948374861502,0.483746016976205,0.8415434746778626,1.1661184681482872
