experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high,importance_effective_sample_fraction_median,importance_effective_sample_fraction_q1,importance_effective_sample_fraction_q3,importance_effective_sample_fraction_ci_low,importance_effective_sample_fraction_ci_high,importance_weight_mean_median,importance_weight_mean_q1,importance_weight_mean_q3,importance_weight_mean_ci_low,importance_weight_mean_ci_high,importance_weight_max_median,importance_weight_max_q1,importance_weight_max_q3,importance_weight_max_ci_low,importance_weight_max_ci_high,kde_pairwise_distance_evaluations_median,kde_pairwise_distance_evaluations_q1,kde_pairwise_distance_evaluations_q3,kde_pairwise_distance_evaluations_ci_low,kde_pairwise_distance_evaluations_ci_high,vrba_attention_effective_sample_fraction_median,vrba_attention_effective_sample_fraction_q1,vrba_attention_effective_sample_fraction_q3,vrba_attention_effective_sample_fraction_ci_low,vrba_attention_effective_sample_fraction_ci_high,vrba_multiplier_mean_median,vrba_multiplier_mean_q1,vrba_multiplier_mean_q3,vrba_multiplier_mean_ci_low,vrba_multiplier_mean_ci_high,vrba_multiplier_max_median,vrba_multiplier_max_q1,vrba_multiplier_max_q3,vrba_multiplier_max_ci_low,vrba_multiplier_max_ci_high
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m5,10,10,0.573644499720315,0.5378179941158265,0.6136073221654786,0.5359878394276953,0.6158208864736044,1.021343445366977,0.9330851079001342,1.101858660613499,0.9121502251671588,1.1186613273579193,0.06855242837031741,0.054237304869207865,0.09712163210862249,0.053118441556084944,0.09893780350114977,0.0828286294578307,0.06196341267686795,0.10073436067078997,0.06026873229722552,0.10467538809521663,0.46641691117985673,0.40623543548343377,0.5148208992720811,0.40104335446174644,0.5627364740098313,2.9632813755001735,2.8203254709997054,3.3698856229998455,2.697299909499634,3.3918512914997336,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m6,10,10,0.5628781964900021,0.535433155643692,0.6076492307423237,0.5321311088100105,0.6115513551878968,1.0142488522942847,0.9634888779621769,1.0402652416119031,0.9500898090597809,1.123760014199095,0.06608389987150755,0.053984776132067334,0.09874490553037744,0.05191366108942702,0.11056505887178467,0.08071176361944102,0.061657667469735306,0.10540576528465495,0.06068321653811899,0.11120326082029783,0.4661190006802187,0.39953880930162466,0.5271484864130025,0.3916779991334042,0.561935741148013,2.5187059685003987,2.4203291945000274,2.6342464042497795,2.4174326530001053,2.6705266475000826,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,m7,10,10,0.5281047915132867,0.500432264300548,0.5729648716416438,0.49790315319157347,0.5852450013613424,1.032031342547624,0.975244629511158,1.105762819712413,0.9526510043745449,1.1171905490615321,0.07278744994100361,0.05759503803522493,0.10261722703692439,0.05673080767405805,0.11104520070887353,0.04370978536545279,0.03678229661190192,0.05286341598515076,0.028188183330468578,0.054954050333184526,0.1048062713351339,0.09348065305533647,0.1437769080367351,0.08827388688231702,0.1661554876980061,1.9761923995000075,1.937923846249987,3.1049769900000683,1.9309483380000074,3.109242591000111,197376.0,197376.0,197376.0,197376.0,197376.0,0.5953136349345571,0.5900578629931678,0.6136867938414722,0.5815436134032242,0.61910069094187,0.9914287006245092,0.9708158350177482,1.0140582910963474,0.9650213349354455,1.0198683636157684,4.6090479338175365,4.473751234165555,4.789373456528337,4.24256726247796,4.8029724708352735,,,,,,,,,,,,,,,,,,,,
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,vw,10,10,0.5066134184341851,0.4894000460743125,0.5302697825885643,0.48544237482029357,0.5352481450749901,1.019436774747596,0.9739214281587124,1.1623695542500125,0.9659001881436625,1.1813225370896716,0.0,0.0,0.0,0.0,0.0,0.08035428846848885,0.07519945173843329,0.09059801773660286,0.06602462874583664,0.0937220667220692,0.3077085443670647,0.22975880578387353,0.37228648974191064,0.21516278200095285,0.3743607706116343,2.163047084000027,2.032086473749928,2.182210172500163,2.018071903999953,2.2220077965000655,190976.0,190976.0,190976.0,190976.0,190976.0,0.7725046964727363,0.7677977263692899,0.7870369596339406,0.765116374847087,0.794793629816321,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,3.5032559860461845,3.0876752019015266,4.149820013391818,3.002924548689254,4.231907652040619,,,,,,,,,,,,,,,,,,,,
sparse_clean,"Burgers — vRBA, 13 observations propres",burgers,vrba,10,10,0.369330852647185,0.29918745409219455,0.40809235305415936,0.2836729485807845,0.4146565106578143,1.2740275925805657,0.9835900422089987,1.3280728665683048,0.8141201392870359,1.4157774285185143,0.0010527202792407057,0.0006815275284010597,0.001219123039303471,0.0006541670788285429,0.0012544923017186057,0.21864207407305758,0.1668470078921541,0.23764738310101274,0.14186247894223436,0.24420001642195294,0.7849891673524432,0.6325863690203359,0.8725730823783748,0.5915210549972871,0.8829259770608278,3.3959524800000054,3.318553330750092,3.4825077035002323,3.318298853000215,3.5097662729999684,166400.0,166400.0,166400.0,166400.0,166400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9083265801453917,0.8866880016204596,0.9352016158670796,0.8773237415006276,0.9365238137293027,1.669995168607127,1.6610447600932505,1.6994697857536452,1.6590642747756303,1.7017521845268477,3.102857403295075,2.9947915380018246,3.4346331356700484,2.8505864364045577,3.444900383301274
sparse_noisy,"Burgers — vRBA, 13 observations bruitées",burgers,m5,10,10,0.5904227187524667,0.5512356803801111,0.6141914424205933,0.5421215153825912,0.6157178649522511,1.0690016046766289,0.999495179052218,1.1474603429225576,0.9823737979212203,1.168480272634603,0.07362845658325365,0.056106249748221274,0.08942146497449144,0.0551821621234662,0.09566189447007473,0.08238536741723929,0.06362471323763685,0.1020476097878824,0.06260248548041665,0.11405029233080483,0.4198161027803548,0.38939800306862243,0.5099353194390654,0.3803602399486352,0.5623725129377943,2.4534090229994945,2.336193781500242,2.550841621749896,2.317859570499877,2.585338512999897,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparse_noisy,"Burgers — vRBA, 13 observations bruitées",burgers,m6,10,10,0.587113249914593,0.5356336486146283,0.6023681903598144,0.5273444038921242,0.618535412937409,1.018569762584079,0.9301295179845713,1.0780385505711554,0.9203897698113008,1.1333213699722493,0.0759911246420312,0.051483066920676515,0.09102492109948783,0.05028492110197638,0.09872638123815698,0.08238233455463337,0.06455950764379,0.101914627477417,0.06442011252918282,0.113558716557565,0.4211110434899989,0.3642115449804497,0.48851325747430147,0.3496997067851542,0.542729069497698,2.3318294870005047,2.290833297249719,2.366305655249789,2.281407487999786,2.369212196999797,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparse_noisy,"Burgers — vRBA, 13 observations bruitées",burgers,m7,10,10,0.5526756069224763,0.4909585401125209,0.5660470681252767,0.48653969018325044,0.5689215306589581,1.0338785270519253,0.9594699686231726,1.0870902916724288,0.9431807877783648,1.1263489398612965,0.07445901430011505,0.05822738002744022,0.09403513525180374,0.057174463762224036,0.09966470736380398,0.04547034741404494,0.03872600150913997,0.05474954853496713,0.03768220969652954,0.0568949248914597,0.12321668301368777,0.08269462335652235,0.16114140569713778,0.0803286025721257,0.1778727115189958,1.9944761055000413,1.959588758749959,3.0971100222500354,1.9501530919999368,3.098398565000025,197376.0,197376.0,197376.0,197376.0,197376.0,0.5944196392912326,0.5724053931781083,0.6279249139577513,0.5712034002821845,0.6355676750973093,1.0134475878310814,0.9652869385759116,1.022274648676017,0.9624129158915912,1.0277518912499097,4.630130938931291,4.294451542408258,4.864294195452245,4.253096095890584,4.868179040347034,,,,,,,,,,,,,,,,,,,,
sparse_noisy,"Burgers — vRBA, 13 observations bruitées",burgers,vw,10,10,0.5228839861071021,0.5154471051616328,0.5406904807269727,0.5134557333649779,0.5447595182466749,1.006540823311315,0.9683929785143176,1.137935889549238,0.9625011104381865,1.1718571043468566,0.0,0.0,0.0,0.0,0.0,0.08115647871110447,0.06998653719761194,0.09041993889752131,0.05796543530900346,0.09361837642729304,0.27044775133312454,0.19256344391742033,0.3241246667037732,0.1829444428612835,0.3384513388902092,2.108372552999981,2.091618533250198,2.155083189750144,2.0418159619998733,2.1944700685000953,190976.0,190976.0,190976.0,190976.0,190976.0,0.797903575523595,0.7605430214366695,0.8096436105884879,0.7594152889553105,0.816063542555197,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,3.686923069141619,3.2599662490556707,4.240152028671828,3.2225633040779513,4.300973024701923,,,,,,,,,,,,,,,,,,,,
sparse_noisy,"Burgers — vRBA, 13 observations bruitées",burgers,vrba,10,10,0.35620983451479993,0.2850460617997187,0.41238911575746506,0.25557092854881636,0.4228327627326368,1.171660382947795,0.9093508803717825,1.287409184814539,0.8939288906509817,1.4662133478003874,0.0009625624632310875,0.0006736197247108169,0.0013024292733424037,0.0006369744112377335,0.0013647438821353802,0.242122328886086,0.19077088003581757,0.29804802382628237,0.18270362533708684,0.30663757729920066,0.7844669719927453,0.642243770681879,0.8955082228117455,0.6172867534684241,0.897018318108289,3.56704715900014,3.5345778712496667,3.5971940937500904,3.5099485434998314,3.6186471414998778,166400.0,166400.0,166400.0,166400.0,166400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9178638318289474,0.9034830477916427,0.9259903339731247,0.8912911326885482,0.9339234388043542,1.6700101985630553,1.6578122585762824,1.714653714933215,1.6574244408580596,1.723553693987702,3.0786455981045795,2.856934049919341,3.3872462829512084,2.842091806268522,3.450500828231397
