step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,weight_physics,weight_initial,weight_boundary,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.029937715999949432,0.792995774866189,0.1522501422531126,0.5884638213681257,0.05228181124495068,1.0,1.0,1.0,0.0,0.0,0,0.047300884252548886,0.004184919895874068,0.0005986183437883108,1.0,1.0,0.0013020833333333333,192,0,0,384,576,nan,nan
10,0.084570234000239,0.44909032479003697,0.00826704141298276,0.3498092823436472,0.09101400103340701,1.0,1.0,1.0,0.0,0.0,0,0.02663670290333034,0.010272615232653017,0.03634067738837162,1.0,1.0,0.0013020833333333333,1920,0,0,768,2688,nan,nan
20,0.13823467100019116,0.44693948126737426,0.010433444021032709,0.33275999205094464,0.1037460451953969,1.0,1.0,1.0,0.0,0.0,0,0.038376091656432576,0.009192714723933158,0.02220801244131628,1.0,1.0,0.0013020833333333333,3840,0,0,1152,4992,nan,nan
30,0.1960602710000785,0.43881304437626456,0.002388786496198899,0.3961673622505606,0.040256895629505074,1.0,1.0,1.0,0.0,0.0,0,0.02781141935871862,0.004820373311044363,0.005705540136087773,1.0,1.0,0.0013020833333333333,5760,0,0,1536,7296,nan,nan
40,0.9183392489999278,0.43074643671081053,0.003221296754631339,0.366421931210943,0.06110320874523616,1.0,1.0,1.0,0.0,0.0,0,0.030692490203144997,0.007822588381235791,0.047337926788128655,1.0,1.0,0.0013020833333333333,7680,0,0,1920,9600,0.8716598420952508,0.9556177392021784
50,0.990150703999916,0.42879061694513193,0.005520348872297707,0.353607370354566,0.06966289771826822,1.0,1.0,1.0,0.0,0.0,0,0.032446004447393165,0.00887596314566118,0.005311202879388384,1.0,1.0,0.0013020833333333333,9600,0,0,2304,11904,0.8716598420952508,0.9556177392021784
60,1.0600054639999144,0.42488891040697496,0.004562098492631034,0.36463637262832216,0.055690439286021805,1.0,1.0,1.0,0.0,0.0,0,0.028598322665470133,0.007764465272106546,0.07413640937682985,1.0,1.0,0.0013020833333333333,11520,0,0,2688,14208,0.8716598420952508,0.9556177392021784
70,1.122024151000005,0.4209188032157553,0.006194763458554631,0.35667465230275125,0.05804938745444942,1.0,1.0,1.0,0.0,0.0,0,0.028948582827644613,0.008636115125774403,0.06234675054154821,1.0,1.0,0.0013020833333333333,13440,0,0,3072,16512,0.8716598420952508,0.9556177392021784
80,1.185341858999891,0.41650056411668906,0.008118868724890097,0.350570956585983,0.05781073880581601,1.0,1.0,1.0,0.0,0.0,0,0.027967905461350067,0.008535715328046341,0.05923119030386029,1.0,1.0,0.0013020833333333333,15360,0,0,3456,18816,0.8720199755453225,0.9748551198411651
90,1.236464891000196,0.4112894756379879,0.010047781389606858,0.34781027017970095,0.05343142406868007,1.0,1.0,1.0,0.0,0.0,0,0.02674024744291311,0.00820340554429291,0.06000857892361052,1.0,1.0,0.0013020833333333333,17280,0,0,3840,21120,0.8720199755453225,0.9748551198411651
100,1.3206964350001726,0.40529466688950533,0.013189524095632663,0.3391694855416107,0.052935657252261965,1.0,1.0,1.0,0.0,0.0,0,0.026852304399052916,0.007726741835811051,0.05057691553463461,1.0,1.0,0.0013020833333333333,19200,0,0,4224,23424,0.8720199755453225,0.9748551198411651
110,1.3992094810000708,0.39836996571463323,0.01630619169519791,0.33191155443480436,0.05015221958463094,1.0,1.0,1.0,0.0,0.0,0,0.02714714534466864,0.006785957500663336,0.04591742668564507,1.0,1.0,0.0013020833333333333,21120,0,0,4608,25728,0.8720199755453225,0.9748551198411651
120,1.4770560599999953,0.3895849945316223,0.019078869105220178,0.32180482328678994,0.048701302139612185,1.0,1.0,1.0,0.0,0.0,0,0.028345231982366784,0.0057860022893407095,0.04434634260734511,1.0,1.0,0.0013020833333333333,23040,0,0,4992,28032,0.8693163753560754,1.036582427484632
