experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_max,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,55,succeeded,,0.44904714169374327,1.1239013860133278,0.03468860658129381,0.13900664242016017,0.6409024789040924,25.607208248999996,1371136,,,,,,,,0.5137868077747426,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00055
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,66,succeeded,,0.921826994636326,1.7398255286604662,0.04462992320199148,0.18014163057625854,0.8111463034156138,25.08628368799964,1371136,,,,,,,,0.807775892343361,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00066
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,77,succeeded,,0.46160605739020977,1.1519754620375395,0.041374148635414325,0.13064298145788356,0.6508710499040622,24.936018537000564,1371136,,,,,,,,0.4036114691278245,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00077
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,88,succeeded,,0.6991558386696086,1.823657557608408,0.0317272511343356,0.1617343910685581,0.8373641674460919,25.767686217999653,1371136,,,,,,,,0.3879428243850586,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00088
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,99,succeeded,,0.42789020030794095,1.080544914986446,0.07625217297654434,0.15506701184448232,0.8806375980113321,24.26001313300003,1371136,,,,,,,,0.3027452922356999,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00099
burgers_long,Burgers — vRBA confirmatoire,burgers,m6,111,succeeded,,0.5302333741317597,1.3443115644079726,0.07198956516027454,0.08556369694530826,0.4367552033624311,24.14070010100022,1371136,,,,,,,,0.5075164999265716,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m6/seed_00111
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,11,succeeded,,0.40083879056506494,0.9725636476095169,0.0543910112642154,0.03523291287316903,0.13701022704473012,14.998990946000049,1371136,0.47323043195836445,0.9829892345168454,4.964390962701661,,,,,0.26552203785193157,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00011
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,22,succeeded,,0.24410214303627914,1.4499842198268098,0.05589820502258423,0.06788002087648425,0.31308622447833806,15.166396762999966,1371136,0.4837065904625843,1.0339311867982144,4.941905312351096,,,,,0.5414922492484083,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00022
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,33,succeeded,,0.46966427166160907,1.54444513280567,0.05502443295171244,0.05791731778039347,0.23876070816355605,14.77226281000003,1371136,0.5306703519586133,1.057532893006676,4.820084654655492,,,,,0.55255444666469,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00033
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,44,succeeded,,0.509410593917014,1.6619753814827813,0.054091682403830665,0.10014256126564579,0.49541412526948847,14.877887443000077,1371136,0.49742351817216285,1.0866173566773991,4.786335266646214,,,,,0.468606571118449,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00044
