step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,weight_physics,weight_initial,weight_boundary,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.034548782000001665,0.49373436098084794,0.10125467412466378,0.31960547722381305,0.07287420963237111,1.0,1.0,1.0,0.0,0.0,0,0.047656218800906286,0.029474729795693592,0.030367944897367584,1.0,1.0,0.0013020833333333333,192,0,0,384,576,nan,nan
10,0.102948632999869,0.36303524115156294,0.022117262619341774,0.3022867094696558,0.03863126906256539,1.0,1.0,1.0,0.0,0.0,0,0.13624783487235204,0.03366603080956476,0.08747434294650838,0.9586886265709335,0.9966404091713268,0.001664156553253746,1920,0,768,768,3456,nan,nan
20,0.18216419500004122,0.34162128972983447,0.003473127232366603,0.2847635817041986,0.05338458079326931,1.0,1.0,1.0,0.0,0.0,0,0.1076632076139815,0.021772018103140646,0.2818495396470305,0.8266457331280046,0.9833476185244882,0.0025120793882946837,3840,0,1536,1152,6528,nan,nan
30,0.2575437619998411,0.33802203141144793,0.0038323716429393972,0.28625432904793563,0.047935330720572884,1.0,1.0,1.0,0.0,0.0,0,0.09345204249927148,0.019258287047019772,0.274548124770516,0.7969032635073878,0.9796435860674241,0.0023061945678978296,5760,0,2304,1536,9600,nan,nan
40,0.9473554860001059,0.32739808983123386,0.007281374958049287,0.27620175909949984,0.043914955773684705,1.0,1.0,1.0,0.0,0.0,0,0.12449968023298402,0.02691562372032962,0.28305354268583693,0.7737401267877649,0.9748070266089488,0.002149970530769329,7680,0,3072,1920,12672,0.8811595732503389,1.0726797646995747
50,1.052769765999983,0.3097835367104087,0.002895150591874432,0.26113970456586955,0.04574868155266473,1.0,1.0,1.0,0.0,0.0,0,0.09218995866633066,0.024006541575359825,0.0857730225426046,0.8835808054641526,0.989301699567207,0.0020959466085342412,9600,0,3840,2304,15744,0.8811595732503389,1.0726797646995747
60,1.1442770329999803,0.28782201647814665,0.0032321903558764006,0.2462529532725296,0.03833687284974063,1.0,1.0,1.0,0.0,0.0,0,0.10072903987759994,0.02717619649378978,0.1382980111982774,0.9006214571859705,0.9908571165227493,0.0019726481434428327,11520,0,4608,2688,18816,0.8811595732503389,1.0726797646995747
70,1.2146606589999465,0.26010004101359535,0.0044437063069848425,0.22256638587617744,0.03308994883043307,1.0,1.0,1.0,0.0,0.0,0,0.10687522408346636,0.03220111729048037,0.2469191031121608,0.8438446162430702,0.9852451171555963,0.002296475000937993,13440,0,5376,3072,21888,0.8811595732503389,1.0726797646995747
80,1.3147132310000416,0.2298158789140143,0.009380487445103136,0.19237874255989562,0.02805664890901555,1.0,1.0,1.0,0.0,0.0,0,0.11766816558897746,0.045796516991571605,0.4125940108538119,0.6975395182281049,0.9675429864410406,0.0031311880545033203,15360,0,6144,3456,24960,0.7873730766478244,1.1622273941518262
90,1.3940242349999608,0.2047702834378255,0.018337977682735818,0.1652291121763938,0.021203193578695892,1.0,1.0,1.0,0.0,0.0,0,0.13797331089484105,0.0730035494623838,0.6350991754805646,0.7330450519235249,0.9719675025357801,0.0029438913716307753,17280,0,6912,3840,28032,0.7873730766478244,1.1622273941518262
100,1.4994357109999328,0.19096284654893317,0.03218139634568208,0.14605183825463564,0.012729611948615459,1.0,1.0,1.0,0.0,0.0,0,0.13126108260367797,0.1026281202059891,0.37624242922863993,0.7494015165410629,0.9760383935157239,0.0034549346502900143,19200,0,7680,4224,31104,0.7873730766478244,1.1622273941518262
110,1.5761628109999037,0.18539418869922433,0.041488448377171944,0.13341406469985112,0.01049167562220126,1.0,1.0,1.0,0.0,0.0,0,0.16519288045362968,0.13824796084583796,0.6408979575848566,0.7534792029221696,0.976058881998218,0.002955641094473549,21120,0,8448,4608,34176,0.7873730766478244,1.1622273941518262
120,1.6519920880000427,0.18471288695566726,0.04664924004976025,0.12971815723115013,0.008345489674756882,1.0,1.0,1.0,0.0,0.0,0,0.1584772504061805,0.14927864136772018,0.5704063793298471,0.7163547551621411,0.9715951843569096,0.0036884199067812257,23040,0,9216,4992,37248,0.6493870935880994,1.0910549015538553
