step,elapsed_seconds,total_loss,physics_loss,initial_loss,boundary_loss,data_loss,weight_physics,weight_initial,weight_boundary,weight_data,controller_weight_step_l1,controller_weight_tv,controller_updates,gradient_distribution_tv,loss_distribution_tv,physics_gradient_log_gap,sampler_effective_sample_fraction,sampler_entropy_fraction,sampler_max_probability,optimization_residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_min,importance_weight_max,kde_pairwise_distance_evaluations,controller_residual_evaluations,sampler_residual_evaluations,diagnostic_residual_evaluations,residual_evaluations,relative_l2,max_abs_error
1,0.058346663000065746,84.77640387554035,88.77511529939335,nan,0.013066394857223055,nan,0.9548030056964447,nan,1.0451969943035553,nan,0.09039398860711056,0.09039398860711056,1,0.008726345613018886,0.00011146414245763957,0.06033706492141239,1.0,1.0,0.00048828125,512,1.0,1.0,1.0,1.0,0,512,0,1024,2048,nan,nan
50,0.8057135680001011,16.775803590786687,16.417389776114142,nan,2.193219866112491,nan,0.8710078645679131,nan,1.1289921354320869,nan,0.08164713631289544,0.25798427086417375,3,0.0674433660008722,0.014603095684785447,0.3177060053488397,1.0,1.0,0.00048828125,25600,1.0,1.0,1.0,1.0,0,1536,0,3072,30208,nan,nan
100,1.5496484670002246,7.580660615456241,6.941935858930212,nan,1.7093771817445038,nan,0.795386446426948,nan,1.204613553573052,nan,0.07368378002302989,0.409227107146104,5,0.0424737798568241,0.004544758257819012,0.10273278077200673,1.0,1.0,0.00048828125,51200,1.0,1.0,1.0,1.0,0,2560,0,5120,58880,nan,nan
150,2.256246121999993,3.349430019040849,3.772818453690893,nan,0.4761307104926227,nan,0.7271445720030489,nan,1.272855427996951,nan,0.06648872998937239,0.5457108559939021,7,0.02624602847501678,0.004030354868503783,0.1407303758780214,1.0,1.0,0.00048828125,76800,1.0,1.0,1.0,1.0,0,3584,0,7168,87552,nan,nan
200,2.9609536100001606,1.0429170516761426,1.3612758982340947,nan,0.10257950329572058,nan,0.665575947030275,nan,1.334424052969725,nan,0.059997120586775754,0.6688481059394501,9,0.10640208904572575,0.000147388125674143,0.6087126739808015,1.0,1.0,0.00048828125,102400,1.0,1.0,1.0,1.0,0,4608,0,9216,116224,nan,nan
250,3.664005477000046,0.4855518024172737,0.6434583862395514,nan,0.06693693981594509,nan,0.6099997232834661,nan,1.3900002767165343,nan,0.05415030718466651,0.7800005534330682,11,0.0846127348989757,0.0055863354183312355,0.5694734830411253,1.0,1.0,0.00048828125,128000,1.0,1.0,1.0,1.0,0,5632,0,11264,144896,nan,nan
300,4.366826064000179,0.234772673905833,0.32618902124360094,nan,0.03621684951384527,nan,0.5598432908570169,nan,1.4401567091429834,nan,0.04887041359367561,0.8803134182859665,13,0.10219410526844735,0.014854587884887117,0.7915252207496295,1.0,1.0,0.00048828125,153600,1.0,1.0,1.0,1.0,0,6656,0,13312,173568,nan,nan
350,5.084029773000111,0.12310450745446369,0.17848656417510225,nan,0.021044142222419848,nan,0.514576833897871,nan,1.4854231661021293,nan,0.04410596347019424,0.9708463322042583,15,0.09579978478105533,0.017853019034825647,1.016305766079354,1.0,1.0,0.00048828125,179200,1.0,1.0,1.0,1.0,0,7680,0,15360,202240,nan,nan
400,5.8481047620002755,0.0816407456049145,0.11865910024694507,nan,0.016661006054233624,nan,0.4737219246974909,nan,1.5262780753025094,nan,0.03980810963752024,1.0525561506050185,17,0.07709885461258052,0.015052997291360955,1.134541690259877,1.0,1.0,0.00048828125,204800,1.0,1.0,1.0,1.0,0,8704,0,17408,230912,nan,nan
450,6.551291585999934,0.06052966035156568,0.08520716593262387,nan,0.01491033595786885,nan,0.43684741469645477,nan,1.5631525853035455,nan,0.03592976481731475,1.1263051706070908,19,0.07149463099073022,0.008861079614797637,1.1470725542913993,1.0,1.0,0.00048828125,230400,1.0,1.0,1.0,1.0,0,9728,0,19456,259584,nan,nan
